time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.0,37.92387,128.181881,7000.2087071999995,0.054,0.167,0.049,1.0,37.968239,128.181881,7002.7290984,0.0,-0.075,180.0,1.0,1810.6287971993581,1810.6412205537335,4939.13513007156,0.1462173319844282,-0.04576253615185527,-179.95423746384813,False,False,1707836.91734226,1707884.1280969814,True
0.0166,37.92414,128.181881,7000.311424800001,-0.632,1.883,0.093,1.0,37.967969,128.181881,7002.5776128,0.0,-0.185,180.0,1.0,1810.6287971993581,1810.6412205537335,4879.022488272656,1.8587147094547027,-0.15838749453011142,-179.8416125054699,False,False,1707837.924657812,1707882.6425307223,True
0.0333,37.924409,128.181881,7000.5613608,-4.417,3.424,0.034,1.0,37.9677,128.181881,7002.3919896,0.0,-0.287,180.0,1.0,1793.1728175030541,1793.1448107400627,4819.132423629637,3.4024049109541026,-0.2652352304523036,-179.7347647695477,False,False,1676386.4317848103,1676354.1635468183,True
0.05,37.924678,128.181881,7000.985642400001,-10.831,2.347,0.151,1.0,37.967431,128.181881,7002.1704,0.001,-0.381,180.0,1.0,1793.2903375395406,1793.1594540607462,4759.242337350319,2.33761621141748,-0.3667368870682094,-179.63326311293181,False,False,1676601.3332063816,1676378.2481968766,False
0.0666,37.924946,128.18188,7001.5123368,-19.577,0.192,0.571,1.0,37.967162,128.181881,7001.9122344,0.001,-0.469,180.0,1.0,1797.4940730512783,1803.9792692251804,4699.463641164122,0.5998615118088872,-0.4641256901216609,-179.53587430987832,False,False,1684153.852284917,1695835.9045105868,False
0.0833,37.925214,128.181879,7002.054576,-30.524,-1.365,1.127,1.0,37.966893,128.181881,7001.616273600001,0.002,-0.553,180.0,1.0,1786.7473083575676,1793.197937238711,4639.685080799784,-1.7645063721843923,-0.5584168369692052,-179.4415831630308,False,False,1664899.6704692368,1676441.8212880832,True
0.1,37.925481,128.181878,7002.537379200001,-43.278,-2.416,1.798,1.0,37.966625,128.181881,7001.2822128,0.004,-0.634,180.0,1.0,1780.021242946489,1786.5565144058576,4580.129308761494,-2.9967439713220108,-0.6497100404156085,-179.35028995958442,False,False,1652909.2458601138,1664551.2137951588,True
0.1166,37.925748,128.181876,7002.902224800001,-56.745,-3.057,2.578,1.0,37.966357,128.181881,7000.909747200001,0.005,-0.714,180.0,1.0,1790.6663868048338,1797.346295984103,4520.573662046153,3.9752453398398604,-0.739274499917716,-179.2607255000823,False,False,1671918.0655191743,1683882.3254162665,False
0.1333,37.926014,128.181876,7003.1280816,-70.011,-3.367,3.419,1.0,37.966089,128.181881,7000.498572,0.007,-0.793,180.001,1.0,1773.1644249306394,1786.614183430179,4461.129390097628,4.769474883801723,-0.8267846885233411,-179.17321531147667,False,False,1640733.2649212251,1664646.5595380466,False
0.15,37.92628,128.181875,7003.217388000001,-82.767,-3.403,4.27,1.0,37.965822,128.181881,7000.0483824,0.008,-0.871,180.001,1.0,1773.1287077155928,1779.982829305642,4401.796477218533,5.427163383188394,-0.912268024832724,-179.0877319751673,False,False,1640670.8088606144,1652816.4607807223,False
