time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.0,37.92387,128.181881,7000.2093168,-0.027,-0.147,359.979,1.0,37.968239,128.181881,7002.7290984,0.0,-0.075,180.0,1.0,1810.6207892856228,1810.6412205537335,4939.135129760525,-0.1774771825924126,-0.04576960775728301,-179.95423039224272,False,False,1707822.4239932424,1707884.1280969814,True
0.0166,37.92414,128.181881,7000.2599136,-0.388,-0.442,359.943,1.0,37.967969,128.181881,7002.5776128,0.0,-0.185,180.0,1.0,1810.6207892856228,1810.6412205537335,4879.022512470283,-0.4726668204182348,-0.1577825835991613,-179.84221741640084,False,False,1707822.9201783512,1707882.6425307223,True
0.0333,37.92441,128.181881,7000.279116,-1.286,-0.725,359.937,1.0,37.9677,128.181881,7002.3919896,0.0,-0.287,180.0,1.0,1799.776565754169,1793.1448107400627,4819.021219629678,-0.7527618113865854,-0.261878976814596,-179.7381210231854,False,False,1688247.1305118569,1676354.1635468183,True
0.05,37.924679,128.181881,7000.2504648,-2.354,-0.971,359.945,1.0,37.967431,128.181881,7002.1704,0.001,-0.381,180.0,1.0,1793.1111814073308,1793.1594540607462,4759.131257665495,-0.9956344920858589,-0.35788565813305284,-179.64211434186694,False,False,1676272.8606646277,1676378.2481968766,True
0.0666,37.924949,128.181881,7000.1651208,-3.467,-1.186,359.959,1.0,37.967162,128.181881,7001.9122344,0.001,-0.469,180.0,1.0,1810.6255228847874,1803.9792692251804,4699.12998964105,-1.207998173738776,-0.44769770827121547,-179.55230229172878,False,False,1707830.5613427984,1695835.9045105868,True
0.0833,37.925219,128.181881,7000.0179024,-4.587,-1.38,359.978,1.0,37.966893,128.181881,7001.616273600001,0.002,-0.553,180.0,1.0,1799.7977878677725,1793.197937238711,4639.128734671342,-1.3999136052445589,-0.5332592402788239,-179.46674075972118,False,False,1688282.7641694346,1676441.8212880832,True
0.1,37.925489,128.181881,6999.805456800001,-5.706,-1.558,359.999,1.0,37.966625,128.181881,7001.2822128,0.004,-0.634,180.0,1.0,1799.8211566158545,1786.5565144058576,4579.238811391369,-1.5764775992544646,-0.6155227178313172,-179.3844772821687,False,False,1688322.740083944,1664551.2137951588,True
0.1166,37.925758,128.18188,6999.5250408,-6.82,-1.726,0.022,1.0,37.966357,128.181881,7000.909747200001,0.005,-0.714,180.0,1.0,1803.9990780970156,1797.346295984103,4519.46021969764,-1.7436797780678641,-0.6964461751963006,-179.30355382480369,False,False,1695848.2291288024,1683882.3254162665,True
0.1333,37.926028,128.18188,6999.1751304,-7.931,-1.885,0.047,1.0,37.966089,128.181881,7000.498572,0.007,-0.793,180.001,1.0,1799.8981584831695,1786.614183430179,4459.570317908406,-1.902556227881473,-0.7759966641176639,-179.22400333588234,False,False,1688455.1512480895,1664646.5595380466,True
0.15,37.926298,128.18188,6998.753896800001,-9.039,-2.039,0.074,1.0,37.965822,128.181881,7000.0483824,0.008,-0.871,180.001,1.0,1799.952941905624,1779.982829305642,4399.791745418314,-2.0571473058930385,-0.8541427226933994,-179.14585727730662,False,False,1688549.6264394089,1652816.4607807223,True
0.1666,37.926568,128.18188,6998.2601208,-10.146,-2.187,0.102,1.0,37.965555,128.181881,6999.558873600001,0.01,-0.949,180.001,1.0,1810.862542937406,1790.7430559604866,4340.0131827720425,-2.2064502526793244,-0.9318542004416867,-179.06814579955832,False,False,1708241.0623205076,1672022.5702631406,True
0.1833,37.926838,128.18188,6997.693497600001,-11.252,-2.333,0.132,1.0,37.965289,128.181881,6999.0303504,0.012,-1.028,180.001,1.0,1800.0959912039216,1773.395266618332,4280.345950158428,-2.3545301312590454,-1.0101051942519435,-178.98989480574807,False,False,1688796.7197124534,1641102.4268179028,True
0.2,37.927108,128.181879,6997.0525032,-12.36,-2.475,0.162,1.0,37.965022,128.181881,6998.4622032,0.014,-1.107,180.002,1.0,1800.1931167809705,1780.1038122106318,4220.567413015227,-2.499236260227342,-1.0878628632753227,-178.91213713672468,False,False,1688965.273783299,1653016.2604884233,True
0.2166,37.927379,128.181879,6996.3371376000005,-13.47,-2.616,0.195,1.0,37.964756,128.18188,6997.854736800001,0.016,-1.186,180.002,1.0,1817.8350943381533,1784.1774085849277,4160.788885070041,-2.644004513943665,-1.1651023007850476,-178.83489769921496,False,False,1720872.8446941464,1660270.0248070536,True
0.2333,37.927649,128.181878,6995.546181600001,-14.583,-2.754,0.228,1.0,37.964491,128.18188,6997.2070368,0.018,-1.266,180.002,1.0,1800.406962257558,1766.8727372847302,4101.233019860091,-2.786339465760898,-1.2427973055551398,-178.75720269444486,False,False,1689335.4878345316,1629538.7952674523,True
0.25,37.927919,128.181878,6994.6793304,-15.7,-2.892,0.262,1.0,37.964225,128.18188,6996.5200176,0.021,-1.346,180.003,1.0,1800.5245701949068,1773.590024926934,4041.565855716484,-2.9296016435218335,-1.3199053582565399,-178.68009464174347,False,False,1689538.7359932442,1641423.211290758,True
0.2666,37.928189,128.181877,6993.736279200001,-16.823,-3.028,0.296,1.0,37.96396,128.18188,6995.7927648,0.023,-1.426,180.003,1.0,1811.51697299042,1777.6282018006063,3982.010044909804,3.0715085359763687,-1.3964101550066004,-178.60358984499342,False,False,1709381.9955986037,1648586.3030353545,False
0.2833,37.92846,128.181877,6992.715808800001,-17.952,-3.163,0.332,1.0,37.963696,128.18188,6995.0252784,0.026,-1.507,180.003,1.0,1807.4752487545952,1760.3811642169314,3922.454266324693,3.2135164964557186,-1.473265531090987,-178.526734468909,False,False,1702058.5039166114,1618068.6863113008,False
